dataset,variant,module,gene,module_mean_weight,primary_composite_membership_weight,primary_composite_effective_weight
GSE274314,primary,ZG_aldosterone_program,CYP11B2,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,HSD3B2,0.07692307692307693,0.038461538461538464,0.08846153846153847
GSE274314,primary,ZG_aldosterone_program,AGTR1,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,VSNL1,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,DACH1,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,LGR5,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,ANO4,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,PDE2A,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,NR4A1,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,NR4A2,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,CACNA1D,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,CACNA1H,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,ZG_aldosterone_program,ATP2B3,0.07692307692307693,0.038461538461538464,0.038461538461538464
GSE274314,primary,intermediate_steroidogenic_program,CYP11A1,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,STAR,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,HSD3B2,0.1,0.05,0.08846153846153847
GSE274314,primary,intermediate_steroidogenic_program,CYP21A2,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,MC2R,0.1,0.05,-0.012499999999999997
GSE274314,primary,intermediate_steroidogenic_program,FDX1,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,FDXR,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,SCARB1,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,TSPO,0.1,0.05,0.05
GSE274314,primary,intermediate_steroidogenic_program,NR5A1,0.1,0.05,0.05
GSE274314,primary,ZF_cortisol_program,CYP11B1,0.125,-0.0625,-0.0625
GSE274314,primary,ZF_cortisol_program,CYP17A1,0.125,-0.0625,-0.125
GSE274314,primary,ZF_cortisol_program,MC2R,0.125,-0.0625,-0.012499999999999997
GSE274314,primary,ZF_cortisol_program,SULT2A1,0.125,-0.0625,-0.125
GSE274314,primary,ZF_cortisol_program,CYB5A,0.125,-0.0625,-0.125
GSE274314,primary,ZF_cortisol_program,PAPSS2,0.125,-0.0625,-0.125
GSE274314,primary,ZF_cortisol_program,AKR1B1,0.125,-0.0625,-0.0625
GSE274314,primary,ZF_cortisol_program,PDE8B,0.125,-0.0625,-0.0625
GSE274314,primary,ZR_androgen_program,CYP17A1,0.125,-0.0625,-0.125
GSE274314,primary,ZR_androgen_program,CYB5A,0.125,-0.0625,-0.125
GSE274314,primary,ZR_androgen_program,SULT2A1,0.125,-0.0625,-0.125
GSE274314,primary,ZR_androgen_program,SULT2B1,0.125,-0.0625,-0.0625
GSE274314,primary,ZR_androgen_program,PAPSS2,0.125,-0.0625,-0.125
GSE274314,primary,ZR_androgen_program,AKR1C3,0.125,-0.0625,-0.0625
GSE274314,primary,ZR_androgen_program,HSD17B2,0.125,-0.0625,-0.0625
GSE274314,primary,ZR_androgen_program,HSD17B6,0.125,-0.0625,-0.0625
GSE274314,CYP11B2_free,ZG_aldosterone_program,HSD3B2,0.08333333333333333,0.041666666666666664,0.09166666666666667
GSE274314,CYP11B2_free,ZG_aldosterone_program,AGTR1,0.08333333333333333,0.041666666666666664,0.041666666666666664
GSE274314,CYP11B2_free,ZG_aldosterone_program,VSNL1,0.08333333333333333,0.041666666666666664,0.041666666666666664
GSE274314,CYP11B2_free,ZG_aldosterone_program,DACH1,0.08333333333333333,0.041666666666666664,0.041666666666666664
