module,rank_within_module,gene,selection_rule,panel_status,module_memberships,n_module_memberships
ZG_aldosterone_program,1,CYP11B2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,2,HSD3B2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program;intermediate_steroidogenic_program,2
ZG_aldosterone_program,3,AGTR1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,4,VSNL1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,5,DACH1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,6,LGR5,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,7,ANO4,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,8,PDE2A,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,9,NR4A1,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,10,NR4A2,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
ZG_aldosterone_program,11,CACNA1D,exact ordered membership in the transparent curated panel in script 53; no target-cohort DE threshold or result-based selection,"curated after project initiation; frozen for this revision, not preregistered",ZG_aldosterone_program,1
