dataset,standardization_scope,metric,case,delta_APA_minus_AAG
GSE156931,paired_samples_only,ZG_aldosterone_program,CH018,-1.7107408449554267
GSE156931,paired_samples_only,ZG_aldosterone_program,CH040,0.9525601382374796
GSE156931,paired_samples_only,ZG_aldosterone_program,CH042,0.47033286376390093
GSE156931,paired_samples_only,ZG_aldosterone_program,CH049,-0.14239005240054492
GSE156931,paired_samples_only,ZG_aldosterone_program,CN032,1.1029930303084852
GSE156931,paired_samples_only,ZG_aldosterone_program,CN059,0.09173895350124797
GSE156931,paired_samples_only,ZG_aldosterone_program,CN062,0.22389073561221257
GSE156931,paired_samples_only,ZG_aldosterone_program,CN067,0.6228138381203469
GSE156931,paired_samples_only,ZF_cortisol_program,CH018,-0.599319227460117
GSE156931,paired_samples_only,ZF_cortisol_program,CH040,-0.3926684004374516
GSE156931,paired_samples_only,ZF_cortisol_program,CH042,0.04634541658829247
GSE156931,paired_samples_only,ZF_cortisol_program,CH049,-0.08157613785748852
GSE156931,paired_samples_only,ZF_cortisol_program,CN032,-0.3751319768373741
GSE156931,paired_samples_only,ZF_cortisol_program,CN059,-0.16619077117693948
GSE156931,paired_samples_only,ZF_cortisol_program,CN062,0.032692442297299396
GSE156931,paired_samples_only,ZF_cortisol_program,CN067,-1.2508302733476724
GSE156931,paired_samples_only,ZR_androgen_program,CH018,-0.29044736292757345
GSE156931,paired_samples_only,ZR_androgen_program,CH040,-0.5951428107397565
GSE156931,paired_samples_only,ZR_androgen_program,CH042,-0.9128967836719158
GSE156931,paired_samples_only,ZR_androgen_program,CH049,-0.5525080768071274
GSE156931,paired_samples_only,ZR_androgen_program,CN032,-0.14404266012680939
GSE156931,paired_samples_only,ZR_androgen_program,CN059,-0.4987382192383254
GSE156931,paired_samples_only,ZR_androgen_program,CN062,-0.41591062495732833
GSE156931,paired_samples_only,ZR_androgen_program,CN067,-1.3336620967863062
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CH018,-0.6042395592166014
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CH040,0.21190614209672493
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CH042,0.22415030388138502
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CH049,0.07635584850685534
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CN032,-0.038207287928218286
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CN059,0.11389374653332296
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CN062,0.35645659247861816
GSE156931,paired_samples_only,intermediate_steroidogenic_program,CN067,0.6365658875228832
