dataset,standardization_scope,variant,signature,n_requested,n_available,available_genes,missing_genes
GSE156931,paired_samples_only,original,ZG_aldosterone_program,13,12,CYP11B2;HSD3B2;AGTR1;VSNL1;DACH1;LGR5;PDE2A;NR4A1;NR4A2;CACNA1D;CACNA1H;ATP2B3,ANO4
GSE156931,paired_samples_only,original,ZF_cortisol_program,8,8,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE156931,paired_samples_only,original,ZR_androgen_program,8,8,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
GSE156931,paired_samples_only,original,intermediate_steroidogenic_program,10,10,CYP11A1;STAR;HSD3B2;CYP21A2;MC2R;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,paired_samples_only,original,generic_steroidogenesis_program,9,9,STAR;CYP11A1;HSD3B2;CYP21A2;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,paired_samples_only,original,medulla_chromaffin_control,6,6,TH;DBH;PNMT;CHGA;CHGB;SLC18A1,
GSE156931,paired_samples_only,original,immune_control,7,7,PTPRC;LST1;HLA-DRA;CD74;CD3D;NKG7;MS4A1,
GSE156931,paired_samples_only,original,stromal_control,6,6,COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA,
GSE156931,paired_samples_only,original,endothelial_control,6,6,PECAM1;VWF;KDR;ENG;CLDN5;RAMP2,
GSE156931,paired_samples_only,original,housekeeping_control,10,9,ACTB;GAPDH;RPLP0;RPL13A;B2M;HPRT1;PGK1;TBP;PPIA,RPS18
GSE156931,paired_samples_only,CYP11B2_free,ZG_aldosterone_program,12,11,HSD3B2;AGTR1;VSNL1;DACH1;LGR5;PDE2A;NR4A1;NR4A2;CACNA1D;CACNA1H;ATP2B3,ANO4
GSE156931,paired_samples_only,CYP11B2_free,ZF_cortisol_program,8,8,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE156931,paired_samples_only,CYP11B2_free,ZR_androgen_program,8,8,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
GSE156931,paired_samples_only,CYP11B2_free,intermediate_steroidogenic_program,10,10,CYP11A1;STAR;HSD3B2;CYP21A2;MC2R;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,paired_samples_only,CYP11B2_free,generic_steroidogenesis_program,9,9,STAR;CYP11A1;HSD3B2;CYP21A2;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,paired_samples_only,CYP11B2_free,medulla_chromaffin_control,6,6,TH;DBH;PNMT;CHGA;CHGB;SLC18A1,
GSE156931,paired_samples_only,CYP11B2_free,immune_control,7,7,PTPRC;LST1;HLA-DRA;CD74;CD3D;NKG7;MS4A1,
GSE156931,paired_samples_only,CYP11B2_free,stromal_control,6,6,COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA,
