patient,tissue,geo_accession,n_spots,axis_mean,axis_median,axis_mean_CYP11B2_free,axis_sd,axis_iqr,axis_mad,axis_p90_minus_p10,moran_i_k6,moran_i_greater_permutation_p,spatial_block_iqr_g3,n_spatial_blocks_g3,spatial_block_iqr_g4,n_spatial_blocks_g4,spatial_block_iqr_g5,n_spatial_blocks_g5
1,APA,GSM8447269,1761,0.24806319239774008,0.27478472309514457,0.20964324604081505,0.35095174651650674,0.4203973150051925,0.20857085315759827,0.8258519211682458,0.419898778938655,0.001,0.17478960017267248,9,0.1532325295288651,16,0.17503023214894045,25
1,Adjacent,GSM8447270,1141,-0.28134720609227215,-0.27778507395778845,-0.2583672896394434,0.4965980072936449,0.7197390632730312,0.35992678567494285,1.2149118974874462,0.5895208297663675,0.001,0.3804332168337857,9,0.3603692645044172,16,0.6045843060531767,24
2,APA,GSM8447271,394,1.0233493131056062,1.0832749040949075,0.9623079053026897,0.47480202712596425,0.5423614765954966,0.2606056722056356,1.0429977885832673,0.5222526335917195,0.001,0.5916590082529374,9,0.5119620667707835,13,0.4781030367066811,20
2,Adjacent,GSM8447272,756,-0.4155567338938322,-0.4199229210199612,-0.39690953299343923,0.4807181217619509,0.697884190075197,0.34659290207765014,1.2519956063235838,0.5858792441417753,0.001,0.490960952870657,9,0.5923347996009217,16,0.512861959738574,25
3,APA,GSM8447274,2024,0.26623795993332827,0.29769584009075506,0.28083466267465307,0.30819059984843455,0.37722614147903155,0.18444220951659315,0.7612896205264473,0.3284035519653414,0.001,0.15280924859950568,9,0.170826232687351,16,0.1192377095517243,25
3,Adjacent,GSM8447273,830,-0.22002505017975324,-0.19667825419193793,-0.1959505990424438,0.4577725568459505,0.6390818398045495,0.3171671193964905,1.140362939136398,0.5425226353785191,0.001,0.4001243499113838,9,0.48427738516928515,16,0.4087813669285407,25
4,APA,GSM8447276,404,0.49904670124223105,0.4141110724846183,0.47192122147757387,0.4844323940864569,0.7336582591243765,0.31645828702257867,1.3053840712883007,0.746951304453503,0.001,0.6527819859998943,9,0.45975594180890444,16,0.564773713072829,25
4,Adjacent,GSM8447275,414,-0.0790484853146373,-0.0868189970043085,-0.04797758327990959,0.39812864624927036,0.523554775258446,0.26418185024539276,1.0344477575021234,0.4880009730288306,0.001,0.4080103295552181,9,0.4252066586968777,16,0.4068047867214108,23
5,APA,GSM8447278,1005,0.30623851584354467,0.33889882400098303,0.2822092220773389,0.3477416132232787,0.4350564407072859,0.2170777599401971,0.8263487361193508,0.10229252621458013,0.001,0.07438534352472281,9,0.1786351471486716,16,0.13592242345148725,24
5,Adjacent,GSM8447277,1086,0.04936509431974635,0.0969100541288272,0.05814048856233584,0.3544477344277168,0.429399644223565,0.21431651279034208,0.8665839867468749,0.32573627248882997,0.001,0.21679208895642166,9,0.22730334499099772,15,0.2935888915618671,22
6,APA,GSM8447280,1608,-0.006228311735742958,-0.0013395648831854567,-0.019891826998815976,0.37319820430864054,0.4776376444649851,0.24069885359973664,0.9333304937244491,0.3760406474641477,0.001,0.2552336249671849,9,0.27839312708578745,16,0.2802909599919763,23
6,Adjacent,GSM8447279,1906,-0.2907666900278392,-0.3022085466076621,-0.26766083047509653,0.4081397452508222,0.6057947866823241,0.3019835373218747,1.0372291191224154,0.5519229536139384,0.001,0.3067401920223744,9,0.4033729861633582,16,0.4077925852798078,24
7,APA,GSM8447282,1380,0.24836362661009606,0.2638527422316963,0.20799310268839438,0.25204569918165376,0.29271084005332865,0.14688704557974477,0.6193006814242179,0.27086285958691286,0.001,0.05823771859699983,9,0.08376505084690367,16,0.10934135910002468,23
7,Adjacent,GSM8447281,1945,-0.4472493886633808,-0.4554169844353664,-0.42245651432883996,0.40403782714225356,0.5310666510836922,0.2658389563564807,0.9861922923292343,0.4418478804298617,0.001,0.22103621867993195,9,0.2426978334657347,16,0.323892551617951,25
