patient,tissue,geo_accession,n_spots,n_occupied_blocks,grid_size
1,APA,GSM8447269,1761,9,3
1,Adjacent,GSM8447270,1141,9,3
2,APA,GSM8447271,394,9,3
2,Adjacent,GSM8447272,756,9,3
3,APA,GSM8447274,2024,9,3
3,Adjacent,GSM8447273,830,9,3
4,APA,GSM8447276,404,9,3
4,Adjacent,GSM8447275,414,9,3
5,APA,GSM8447278,1005,9,3
5,Adjacent,GSM8447277,1086,9,3
6,APA,GSM8447280,1608,9,3
6,Adjacent,GSM8447279,1906,9,3
7,APA,GSM8447282,1380,9,3
7,Adjacent,GSM8447281,1945,9,3
1,APA,GSM8447269,1761,16,4
1,Adjacent,GSM8447270,1141,16,4
2,APA,GSM8447271,394,13,4
2,Adjacent,GSM8447272,756,16,4
3,APA,GSM8447274,2024,16,4
3,Adjacent,GSM8447273,830,16,4
4,APA,GSM8447276,404,16,4
4,Adjacent,GSM8447275,414,16,4
5,APA,GSM8447278,1005,16,4
5,Adjacent,GSM8447277,1086,15,4
6,APA,GSM8447280,1608,16,4
6,Adjacent,GSM8447279,1906,16,4
7,APA,GSM8447282,1380,16,4
7,Adjacent,GSM8447281,1945,16,4
1,APA,GSM8447269,1761,25,5
1,Adjacent,GSM8447270,1141,24,5
2,APA,GSM8447271,394,20,5
2,Adjacent,GSM8447272,756,25,5
3,APA,GSM8447274,2024,25,5
3,Adjacent,GSM8447273,830,25,5
4,APA,GSM8447276,404,25,5
4,Adjacent,GSM8447275,414,23,5
5,APA,GSM8447278,1005,24,5
5,Adjacent,GSM8447277,1086,22,5
6,APA,GSM8447280,1608,23,5
6,Adjacent,GSM8447279,1906,24,5
7,APA,GSM8447282,1380,23,5
7,Adjacent,GSM8447281,1945,25,5
