geo_accession,patient,tissue,n_in_tissue_spots,n_qc_passing_spots,qc_retained_fraction,qc_rule,total_umi_min,total_umi_median,total_umi_p95,total_umi_max,n_detected_genes_min,n_detected_genes_median,n_detected_genes_p95,n_detected_genes_max,mitochondrial_umi_fraction_min,mitochondrial_umi_fraction_median,mitochondrial_umi_fraction_p95,mitochondrial_umi_fraction_max
GSM8447269,1,APA,1761,1544,0.8767745599091425,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,138.0,8859.0,15290.0,25590.0,115.0,2927.0,4192.0,5477.0,0.031103286384976527,0.15354272104793093,0.21889149102263855,0.3252049180327869
GSM8447270,1,Adjacent,1141,676,0.5924627519719544,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,864.0,7205.0,15422.0,30011.0,463.0,2399.0,4010.0,5964.0,0.022203947368421052,0.18445404071560764,0.28483761329305135,0.44574907588606216
GSM8447271,2,APA,394,107,0.2715736040609137,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,168.0,18397.5,30064.299999999996,38777.0,126.0,4690.0,6187.399999999999,7299.0,0.0975446353800288,0.22774045801632523,0.2925507595644594,0.3780487804878049
GSM8447272,2,Adjacent,756,439,0.5806878306878307,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,236.0,5878.5,13127.25,38344.0,162.0,2264.0,3920.75,6653.0,0.05961837687331095,0.1896422322997524,0.2680357418113385,0.32905002294630564
GSM8447273,3,Adjacent,830,615,0.7409638554216867,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,37.0,7460.0,16485.249999999993,24244.0,34.0,2627.0,4423.299999999999,5807.0,0.04623474551046731,0.15860090727917728,0.2576907787737048,0.34946236559139787
GSM8447274,3,APA,2024,1767,0.8730237154150198,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,73.0,9384.0,15853.099999999999,35987.0,63.0,3244.0,4502.7,6859.0,0.07275266632808532,0.14603495509229883,0.23156327890705275,0.3515267175572519
GSM8447275,4,Adjacent,414,357,0.8623188405797102,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,138.0,7182.0,12737.449999999997,19130.0,116.0,2748.0,4056.3999999999996,5259.0,0.02829121086382497,0.11279071725799318,0.25482149519371616,0.3031135531135531
GSM8447276,4,APA,404,394,0.9752475247524752,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,148.0,13170.5,21241.699999999997,52898.0,124.0,4013.0,5512.749999999998,8369.0,0.04001739886907351,0.08318804283442219,0.1803322951271843,0.25070894560453727
GSM8447277,5,Adjacent,1086,661,0.6086556169429097,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,397.0,7146.0,14582.5,30773.0,263.0,2714.0,4567.25,6416.0,0.04520668425681618,0.17600946819197905,0.2955115354961153,0.49226546906187624
GSM8447278,5,APA,1005,164,0.16318407960199005,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,288.0,4931.0,12571.0,25521.0,215.0,1893.0,3757.7999999999993,5603.0,0.06095648765190122,0.27207062600321025,0.3641409186515726,0.5396191646191646
GSM8447279,6,Adjacent,1906,1418,0.7439664218258132,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,96.0,7624.0,20136.0,34445.0,82.0,2504.5,4956.5,6963.0,0.05830826402406654,0.14415961185543805,0.2905724044648067,0.37778388781963157
GSM8447280,6,APA,1608,930,0.5783582089552238,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,94.0,4697.0,16367.14999999998,34256.0,71.0,1813.5,4473.149999999999,6850.0,0.06683364091747956,0.1859706362153344,0.27609324178040573,0.3611111111111111
GSM8447281,7,Adjacent,1945,1835,0.9434447300771208,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,92.0,6735.0,13039.599999999999,22035.0,84.0,2622.0,4239.4,6023.0,0.03345724907063197,0.0819300518134715,0.20346074334196587,0.3284409654272668
GSM8447282,7,APA,1380,1340,0.9710144927536232,total UMI >= 500; detected genes >= 250; mitochondrial fraction <= 20%,115.0,13089.5,22236.949999999993,37868.0,100.0,3888.5,5212.349999999999,6836.0,0.04340063178134872,0.09241390496386204,0.18432201441809856,0.2770615422038433
