metric,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,n_positive,n_negative,exact_sign_flip_two_sided_p,exact_sign_flip_greater_p,one_sided_sign_p,wilcoxon_p,paired_t_p,exact_sign_flip_two_sided_fdr
ZG_aldosterone_program_mean,7,0.44635067381739074,0.4319606152593538,0.2596639769753988,0.6570495883499741,7,0,0.015625,0.0078125,0.0078125,0.015625,0.007468041709115443,0.03125
ZF_cortisol_program_mean,7,-0.2492867770357556,-0.1750220848105174,-0.45864088380791357,-0.09292295603260257,1,6,0.03125,0.9921875,0.9921875,0.03125,0.05221449477028148,0.05625
ZR_androgen_program_mean,7,-0.2822738512662409,-0.25611482935464897,-0.38582276086910827,-0.19329230490403204,0,7,0.015625,1.0,1.0,0.015625,0.0020233731026579635,0.03125
intermediate_steroidogenic_program_mean,7,0.24200282852311888,0.2039109336568319,0.028043188251314643,0.46030576552210467,6,1,0.09375,0.046875,0.0625,0.109375,0.08894192230132084,0.12980769230769232
generic_steroidogenesis_program_mean,7,0.18173883127433724,0.0953190931278696,-0.026898118980801026,0.3923308187068152,6,1,0.15625,0.078125,0.0625,0.15625,0.16352282430086373,0.20089285714285715
ZG_vs_ZF_axis_score_mean,7,0.6956374508531464,0.5987950339685434,0.3830311813074149,1.1083266771535671,7,0,0.015625,0.0078125,0.0078125,0.015625,0.014657403048025984,0.03125
ZG_intermediate_vs_ZF_axis_score_mean,7,0.5934635282060104,0.48477019316728254,0.3538344289190212,0.9407692954518941,7,0,0.015625,0.0078125,0.0078125,0.015625,0.013406626339635934,0.03125
aldosterone_specificity_score_mean,7,0.2646118425430536,0.2819781948714474,0.03634742135114915,0.5026655128701298,6,1,0.078125,0.0390625,0.0625,0.078125,0.08653019951470983,0.1278409090909091
housekeeping_control_mean,7,0.06437153376206523,0.09640301733607491,-0.06195148264400469,0.18136174587933698,5,2,0.359375,0.1796875,0.2265625,0.296875,0.37816661312307726,0.39705882352941174
ZG_aldosterone_program_depth_adjusted_mean,7,0.3414480505155838,0.31125599563895606,0.24929138555961056,0.4533181619723426,7,0,0.015625,0.0078125,0.0078125,0.015625,0.0009679628948073772,0.03125
ZF_cortisol_program_depth_adjusted_mean,7,-0.2867701011589003,-0.1746892480531868,-0.5287315290372533,-0.11619545701784732,0,7,0.015625,1.0,1.0,0.015625,0.050699285325801945,0.03125
ZR_androgen_program_depth_adjusted_mean,7,-0.2931174770557186,-0.2518068528881579,-0.41150410735823834,-0.18965564494401838,0,7,0.015625,1.0,1.0,0.015625,0.002925528561720676,0.03125
intermediate_steroidogenic_program_depth_adjusted_mean,7,0.1304849790718342,0.15550641692077788,-0.04885524068421892,0.28709552547667083,6,1,0.21875,0.109375,0.0625,0.21875,0.20703403239926674,0.2625
generic_steroidogenesis_program_depth_adjusted_mean,7,0.0763853536189349,0.0776934088490697,-0.09793928062638156,0.2322606518504211,6,1,0.375,0.1875,0.0625,0.21875,0.44032767964480996,0.39705882352941174
ZG_vs_ZF_axis_score_depth_adjusted_mean,7,0.6282181516744841,0.5403016970856818,0.37236045711825533,0.9741543530451018,7,0,0.015625,0.0078125,0.0078125,0.015625,0.01103114846267232,0.03125
ZG_intermediate_vs_ZF_axis_score_depth_adjusted_mean,7,0.5227366159526093,0.4040189312920005,0.3559397351660847,0.8000983878687001,7,0,0.015625,0.0078125,0.0078125,0.015625,0.008448913629418658,0.03125
aldosterone_specificity_score_depth_adjusted_mean,7,0.265062696896649,0.3006043413488678,0.03982847559290437,0.5096177921155345,5,2,0.09375,0.046875,0.2265625,0.109375,0.08325797980378566,0.12980769230769232
housekeeping_control_depth_adjusted_mean,7,-0.020281102907097812,-0.008133452434894509,-0.13244777925346538,0.08706175928618658,3,4,0.65625,0.6796875,0.7734375,0.8125,0.7424632054230145,0.65625
